profile_type,section_area(cm^2),weight(kg/m),steel_grade,plastic_section_modulus(cm^3),moment_of_inertia_Iy(cm^4),b,tf,tw,r
I100,12.7,10.6,235,91.5,1.71,55,5.7,4.1,7
I120,15.8,13.3,235,125.0,3.178,64,6.3,4.4,7
I140,18.9,16.1,235,167.0,5.412,73,6.9,4.7,7
I160,22.2,19.9,235,217.0,8.693,82,7.4,5,9
I180,26.0,24.2,235,277.0,13.17,91,8,5.3,9
I200,30.6,30.6,235,349.0,19.43,100,8.5,5.6,12
I220,35.5,36.5,235,433.0,27.72,110,9.2,5.9,12
I240,40.8,43.2,235,530.0,38.92,120,9.8,6.2,15
I260,46.3,50.0,235,641.0,57.9,130,10.2,6.6,15
I280,52.1,57.0,235,766.0,83.56,140,11,7,18
I330,62.6,49.1,235,713.1,117.70,160,11.50,7.5,18
HEA100,21.24,16.7,235,72.76,3.492,100,8,5,12
HEA120,25.34,19.9,235,106.3,6.062,120,8,5,12
HEA140,31.42,24.7,235,155.4,10.33,140,8.5,5.5,12
HEA160,38.77,30.4,235,220.1,16.73,160,9,6,15
HEA180,45.25,35.5,235,293.6,25.1,180,9.5,6,15
HEA200,53.83,42.3,235,388.6,36.92,200,10,6.5,18
HEA220,64.34,50.5,235,515.2,54.1,220,11,7,18
HEA240,76.84,60.3,235,675.1,77.63,240,12,7.5,21
HEA260,86.82,68.2,235,836.4,104.5,260,12.5,7.5,24
HEA280,97.26,76.4,235,1013,136.7,280,13,8,24
HEA300,112.53,88.3,235,1260,182.6,300,14,8.5,27
HEA320,124.37,97.6,235,1479,229.3,300,15.5,9,27
HEA340,133.47,104.8,235,1678,276.9,300,16.5,9.5,27
HEA360,142.76,112.1,235,1891,330.9,300,17.5,10,27
HEA400,158.98,124.8,235,2311,450.7,300,19,11,27
HEA450,178.03,139.8,235,2896,637.2,300,21,11.5,27
HEA500,197.54,155.1,235,3550,869.7,300,23,12,27
HEA550,211.76,166.2,235,4146,1119,300,24,12.5,27
HEA600,226.46,177.8,235,4787,1412,300,25,13,27
HEA650,241.64,189.7,235,5474,1752,300,26,13.5,27
HEA700,260.48,204.5,235,6241,2153,300,27,14.5,27
HEA800,285.83,224.4,235,7682,3034,300,28,15,30
HEA900,320.53,251.6,235,9485,4221,300,30,16,30
HEA1000,346.85,272.3,235,11190,5538,300,31,16.5,30
