Profile,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Area,Second moment of area,Elastic section modulus,Steel grade
HEB100,100,100,6.0,10.0,12,20.4,2604,4.495,89.91,235
HEB120,120,120,6.5,11.0,12,26.7,3401,8.644,144.1,235
HEB140,140,140,7.0,12.0,12,33.7,4296,15.09,215.6,235
HEB160,160,160,8.0,13.0,15,42.6,5425,24.92,311.5,235
HEB180,180,180,8.5,14.0,15,51.2,6525,38.31,425.7,235
HEB200,200,200,9.0,15.0,18,61.3,7808,56.96,569.6,235
HEB220,220,220,9.5,16.0,18,71.5,9104,80.91,735.5,235
HEB240,240,240,10.0,17.0,21,83.2,10599,112.6,938.3,235
HEB260,260,260,10.0,17.5,24,93.0,11844,149.2,1148.0,235
HEB280,280,280,10.5,18.0,24,103.1,13136,192.7,1376.0,235
HEB300,300,300,11.0,19.0,27,117.0,14908,251.7,1678.0,235
HEB320,320,300,11.5,20.5,27,126.7,16134,308.2,1926.0,235
HEB340,340,300,12.0,21.5,27,134.2,17090,366.6,2156.0,235
HEB360,360,300,12.5,22.5,27,141.8,18063,431.9,2400.0,235
HEB400,400,300,13.5,24.0,27,155.3,19778,576.8,2884.0,235
HEB450,450,300,14.0,26.0,27,171.1,21798,798.9,3551.0,235
HEB500,500,300,14.5,28.0,27,187.3,23864,1072.0,4287.0,235
HEB550,550,300,15.0,29.0,27,199.4,25406,1367.0,4971.0,235
HEB600,600,300,15.5,30.0,27,211.9,26996,1710.0,5701.0,235
HEB650,650,300,16.0,31.0,27,224.8,28634,2106.0,6480.0,235
HEB700,700,300,17.0,32.0,27,240.5,30638,2569.0,7340.0,235
HEB800,800,300,17.5,33.0,30,262.3,33418,3591.0,8977.0,235
HEB900,900,300,18.5,35.0,30,291.5,37128,4941.0,10980.0,235
HEB1000,1000,300,19.0,36.0,30,314.0,40005,6447.0,12890.0,235
HEA100,96,100,5.0,8.0,12,16.7,2124,3.492,72.76,235
HEA120,114,120,5.0,8.0,12,19.9,2534,6.062,106.3,235
HEA140,133,140,5.5,8.5,12,24.7,3142,10.33,155.4,235
HEA160,152,160,6.0,9.0,15,30.4,3877,16.73,220.1,235
HEA180,171,180,6.0,9.5,15,35.5,4525,25.1,293.6,235
HEA200,190,200,6.5,10.0,18,42.3,5383,36.92,388.6,235
HEA220,210,220,7.0,11.0,18,50.5,6434,54.1,515.2,235
HEA240,230,240,7.5,12.0,21,60.3,7684,77.63,675.1,235
HEA260,250,260,7.5,12.5,24,68.2,8682,104.5,836.4,235
HEA280,270,280,8.0,13.0,24,76.4,9726,136.7,1013.0,235
HEA300,290,300,8.5,14.0,27,88.3,11253,182.6,1260.0,235
HEA320,310,300,9.0,15.5,27,97.6,12437,229.3,1479.0,235
HEA340,330,300,9.5,16.5,27,104.8,13347,276.9,1678.0,235
HEA360,350,300,10.0,17.5,27,112.1,14276,330.9,1891.0,235
HEA400,390,300,11.0,19.0,27,124.8,15898,450.7,2311.0,235
HEA450,440,300,11.5,21.0,27,139.8,17803,637.2,2896.0,235
HEA500,490,300,12.0,23.0,27,155.1,19754,869.7,3550.0,235
HEA550,540,300,12.5,24.0,27,166.2,21176,1119.0,4146.0,235
HEA600,590,300,13.0,25.0,27,177.8,22646,1412.0,4787.0,235
HEA650,640,300,13.5,26.0,27,189.7,24164,1752.0,5474.0,235
HEA700,690,300,14.5,27.0,27,204.5,26048,2153.0,6241.0,235
HEA800,790,300,15.0,28.0,30,224.4,28583,3034.0,7682.0,235
HEA900,890,300,16.0,30.0,30,251.6,32053,4221.0,9485.0,235
HEA1000,990,300,16.5,31.0,30,272.3,34685,5538.0,11190.0,235
IPE80,80,46,3.8,5.2,5,6.0,764,0.8014,20.03,235
IPE100,100,55,4.1,5.7,7,8.1,1032,1.71,34.2,235
IPE120,120,64,4.4,6.3,7,10.4,1321,3.178,52.96,235
IPE140,140,73,4.7,6.9,7,12.9,1643,5.412,77.32,235
IPE160,160,82,5.0,7.4,9,15.8,2009,8.693,108.7,235
IPE180,180,91,5.3,8.0,9,18.8,2395,13.17,146.3,235
IPE200,200,100,5.6,8.5,12,22.4,2848,19.43,194.3,235
IPE220,220,110,5.9,9.2,12,26.2,3337,27.72,252.0,235
IPE240,240,120,6.2,9.8,15,30.7,3912,38.92,324.3,235
IPE270,270,135,6.6,10.2,15,36.1,4595,57.9,428.9,235
IPE300,300,150,7.1,10.7,15,42.2,5381,83.56,557.1,235
IPE330,330,160,7.5,11.5,18,49.1,6261,117.7,713.1,235
IPE360,360,170,8.0,12.7,18,57.1,7273,162.7,903.6,235
IPE400,400,180,8.6,13.5,21,66.3,8446,231.3,1156.0,235
IPE450,450,190,9.4,14.6,21,77.6,9882,337.4,1500.0,235
IPE500,500,200,10.2,16.0,21,90.7,11552,482.0,1928.0,235
IPE550,550,210,11.1,17.2,24,105.5,13442,671.2,2441.0,235
IPE600,600,220,12.0,19.0,24,122.4,15598,920.8,3069.0,235
